file,line,seconds,kwargs,context
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,196,0.346662,{'run_time': 0.6},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,209,0.160936,{'run_time': 0.25},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.478869,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,243,0.356799,,"tplay_csv(self, blink_line(1))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.278588,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,249,0.434610,,"tplay_csv(self, blink_line(2))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,229,0.113108,{'run_time': 0.6},"tplay_csv(self, nodes[curr_idx].box.animate.set_stroke(GREEN, 4).set_rate_func(there_and_back), run_time=0.6)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.490222,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,234,0.400268,,"tplay_csv(self, blink_line(0))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,196,0.352843,{'run_time': 0.6},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,209,0.171548,{'run_time': 0.25},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.494423,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,243,0.385245,,"tplay_csv(self, blink_line(1))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.506501,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,249,0.437833,,"tplay_csv(self, blink_line(2))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,261,0.280602,{'run_time': 0.8},"tplay_csv(self, GrowFromCenter(brace), FadeIn(final_text, shift=UP*0.2), run_time=0.8)"
